,name,type,Pretty Name,description,example,note
,petId,integer,Pet ID,Internal unique identifier.,123456789,Auto generated.
,petName,string,Pet Name,Friendly name of the dog.,Odie,
,species,string,Species,,Dog,
,purebred,boolean,Is A Pure Bread?,,No,
,primaryBreed,string,Primary Breed,,Hound (Unknown Type),Reference db_options table.
,secondaryBreed,string,Secondary Breed,,"Terrier (Unknown Type, Medium)",Reference db_options table.
,actQuickly,boolean,Attention Needed?,If it is important to adopt this dog soon.,No,
,adoptable,boolean,Is Adoptable?,It the dog is available for adoption at this time.,Yes,
,age,string,Age,,1-2 years,Reference db_options table.
,activityLevel,string,Activity Level,,Medium,Reference db_options table.
,color,string,Color,,"White with Tan, Yellow or Fawn",Reference db_options table.
?,currentHeartwormTest,boolean,Has Heartwarm test?,,,
?,currentShots,boolean,Up-to-date shots?,,,
,description,string,Description,,"This is Odie. Odie is a 1 year old, neutered male, Hound Terrier mix. He loves to run and play with other dogs and he also enjoys snuggling up and getting his belly rubbed. He has a wire coat and he is crate trained too. He is only 26 lbs. If you have been looking for a dog that is not too big and not too little, Odie might just be the right one for you! If you would like to meet Odie, Please contact your local Lady Lake AnimalDocuments Control at 352-751-1530.",What is the appropriate text length constraint for this field?
,goodWithCats,boolean,Is good with cats?,,No,
,goodWithDogs,boolean,Is good with dogs?,,Yes,
,goodWithKids,boolean,Is good with kids?,,Yes,
,hairLength,string,Hair Length,,Short,Reference db_options table.
,houseTrained,boolean,Is House Trained?,,Yes,
?,image,,Image,,160217_odie.jpg,
,intakeDate,date,Intake Date,,2/17/2016,
,lost,boolean,Is lost and found?,,No,
?,lostGeoLoc,,Location,,,"Example (28.9319050,-81.9296189)"
,microchip,boolean,Has a microchip,,No,
,sex,string,Gender,,Female,Reference db_options table.
,shelterName,string,Shelter Name,,Lady Lake AnimalDocuments Control,Can we autofill this field?
,shelterContact,string,Shelter Contact,,Denise Williams,Can we autofill this field?
,shelterAddrLine1,string,Shelter Address Line 1,,132 Skyline Dr.,Can we autofill this field?
?,shelterAddrLine2,string,Shelter Address Line 2,,,
,shelterAddrCity,string,Shelter City,,Lady Lake,Can we autofill this field?
,shelterAddrSt,string,Shelter State,,FL,Can we autofill this field?
,shelterAddrZip,string,Shelter Zip Code,,32159,Can we autofill this field?
,shelterEmail,string,Shelter Email,,aco@ladylake.org,Can we autofill this field?
,shelterId,integer,Shelter ID,,90778,Can we autofill this field?
,shelterPhone,string,Shelter Phone Number,,352-751-1530,Can we autofill this field?
,shelterUrl,string,Shelter URL,,https://www.ladylake.org/police-department/animal-control-2,Can we autofill this field?
,size,string,AnimalDocuments Size?,,Medium (26-45 lbs.),Reference db_options table.
,spayedNeutered,boolean,Is Spayed Neutered?,,Yes,
,specialNeeds,boolean,Has Special Needs?,,No,
