age,activity_level,breed,color,noise,sex,size
Chick,High,African Grey,Black,High,Male,
Adolescent,Medium,Amazon,Blue,Medium,Female,
Adult,Low,Brotogeris,Brown,Low,,
Senior,,Budgie,Buff,,,
,,Button Quail,Gray,,,
,,Caique,Green,,,
,,Canary,Olive,,,
,,Chicken,Orange,,,
,,Cockatiel,Pink,,,
,,Cockatoo,Purple/Violet,,,
,,Conure,Red,,,
,,Dove,Rust,,,
,,Duck,Tan,,,
,,Eclectus,White,,,
,,Emu,Yellow,,,
,,Finch,,,,
,,Goose,,,,
,,Guinea Fowl,,,,
,,Kakariki,,,,
,,Lorikeet,,,,
,,Lovebird,,,,
,,Macaw,,,,
,,Mynah,,,,
,,Ostrich,,,,
,,Other/Unknown,,,,
,,"Parakeet, Quaker",,,,
,,"Parakeet, Other",,,,
,,Parrot - Other,,,,
,,Parrotlet,,,,
,,Peacock,,,,
,,Pheasant,,,,
,,Pigeon,,,,
,,Pionus,,,,
,,Poicephalus (including Senegal and Meyer's),,,,
,,Quail,,,,
,,Rhea,,,,
,,Ringneck,,,,
,,Rosella,,,,
,,"Softbill, Other",,,,
,,Swan,,,,
,,Toucan,,,,
,,Turkey,,,,
