age,activity_level,breed,color,hair_length,sex,size
Kit,High,American, Agouti,Short,Male,
Adolescent,Medium,American Fuzzy Lop, Albino or Red-Eyed White,Medium,Female,
Adult,Low,American Sable, Black,Long,,
Senior,,"Angora, English", Blond or Golden,,,
,,"Angora, French", Blue,,,
,,"Angora, Giant", Chinchilla,,,
,,"Angora, Satin", Chocolate,,,
,,Belgian Hare, Cinnamon,,,
,,Beveren, Copper,,,
,,Blanc de Hotot, Cream,,,
,,Britannia Petite, Dutch,,,
,,Californian, Fawn,,,
,,Champagne D'Argent, Gray or Silver,,,
,,Checkered Giant, Harlequin,,,
,,"Chinchilla, American", Lilac,,,
,,"Chinchilla, Giant", Multi,,,
,,"Chinchilla, Standard", Orange,,,
,,Cinnamon, Red,,,
,,Creme D'Argent, Sable,,,
,,Dutch, Siamese,,,
,,Dwarf, Tan,,,
,,Dwarf Hotot, Tortoise,,,
,,English Spot, Tricolor,,,
,,Flemish Giant, White,,,
,,Florida White,,,,
,,Harlequin,,,,
,,Havana,,,,
,,Himalayan,,,,
,,Jersey Wooly,,,,
,,Lilac,,,,
,,Lionhead,,,,
,,Lop-Eared,,,,
,,"Lop, English",,,,
,,"Lop, French",,,,
,,"Lop, Holland",,,,
,,Mini Lop,,,,
,,Mini Rex,,,,
,,Mini Satin,,,,
,,Netherland Dwarf,,,,
,,New Zealand,,,,
,,Other/Unknown,,,,
,,Palomino,,,,
,,Polish,,,,
,,Rex,,,,
,,Rhinelander,,,,
,,Satin,,,,
,,Silver,,,,
,,Silver Fox,,,,
,,Silver Marten,,,,
,,Tan,,,,
,,Thrianta,,,,
